t	H	V	T	P
5.060e-01	-6.765e+02	-6.767287e+02	1.575e-01	0.000e+00
5.100e-01	-6.765e+02	-6.767469e+02	1.691e-01	0.000e+00
5.140e-01	-6.765e+02	-6.767584e+02	1.765e-01	0.000e+00
5.180e-01	-6.765e+02	-6.767604e+02	1.777e-01	0.000e+00
5.220e-01	-6.765e+02	-6.767514e+02	1.720e-01	0.000e+00
5.260e-01	-6.765e+02	-6.767321e+02	1.596e-01	0.000e+00
5.300e-01	-6.765e+02	-6.767050e+02	1.423e-01	0.000e+00
5.340e-01	-6.765e+02	-6.766742e+02	1.226e-01	0.000e+00
5.380e-01	-6.765e+02	-6.766446e+02	1.036e-01	0.000e+00
5.420e-01	-6.765e+02	-6.766212e+02	8.860e-02	0.000e+00
5.460e-01	-6.765e+02	-6.766077e+02	8.001e-02	0.000e+00
5.500e-01	-6.765e+02	-6.766065e+02	7.923e-02	0.000e+00
5.540e-01	-6.765e+02	-6.766176e+02	8.630e-02	0.000e+00
5.580e-01	-6.765e+02	-6.766387e+02	9.985e-02	0.000e+00
5.620e-01	-6.765e+02	-6.766662e+02	1.174e-01	0.000e+00
5.660e-01	-6.765e+02	-6.766950e+02	1.358e-01	0.000e+00
5.700e-01	-6.765e+02	-6.767200e+02	1.519e-01	0.000e+00
5.740e-01	-6.765e+02	-6.767371e+02	1.628e-01	0.000e+00
5.780e-01	-6.765e+02	-6.767433e+02	1.668e-01	0.000e+00
5.820e-01	-6.765e+02	-6.767381e+02	1.635e-01	0.000e+00
5.860e-01	-6.765e+02	-6.767230e+02	1.538e-01	0.000e+00
5.900e-01	-6.765e+02	-6.767015e+02	1.400e-01	0.000e+00
5.940e-01	-6.765e+02	-6.766785e+02	1.254e-01	0.000e+00
5.980e-01	-6.765e+02	-6.766594e+02	1.131e-01	0.000e+00
6.020e-01	-6.765e+02	-6.766487e+02	1.063e-01	0.000e+00
6.060e-01	-6.765e+02	-6.766494e+02	1.068e-01	0.000e+00
6.100e-01	-6.765e+02	-6.766622e+02	1.149e-01	0.000e+00
6.140e-01	-6.765e+02	-6.766850e+02	1.295e-01	0.000e+00
6.180e-01	-6.765e+02	-6.767134e+02	1.477e-01	0.000e+00
6.220e-01	-6.765e+02	-6.767419e+02	1.659e-01	0.000e+00
6.260e-01	-6.765e+02	-6.767642e+02	1.802e-01	0.000e+00
6.300e-01	-6.765e+02	-6.767754e+02	1.873e-01	0.000e+00
6.340e-01	-6.765e+02	-6.767726e+02	1.855e-01	0.000e+00
6.380e-01	-6.765e+02	-6.767556e+02	1.747e-01	0.000e+00
6.420e-01	-6.765e+02	-6.767272e+02	1.565e-01	0.000e+00
6.460e-01	-6.765e+02	-6.766925e+02	1.343e-01	0.000e+00
6.500e-01	-6.765e+02	-6.766578e+02	1.121e-01	0.000e+00
6.540e-01	-6.765e+02	-6.766295e+02	9.400e-02	0.000e+00
6.580e-01	-6.765e+02	-6.766128e+02	8.326e-02	0.000e+00
6.620e-01	-6.765e+02	-6.766102e+02	8.163e-02	0.000e+00
6.660e-01	-6.765e+02	-6.766218e+02	8.905e-02	0.000e+00
6.700e-01	-6.765e+02	-6.766447e+02	1.036e-01	0.000e+00
6.740e-01	-6.765e+02	-6.766736e+02	1.222e-01	0.000e+00
6.780e-01	-6.765e+02	-6.767026e+02	1.407e-01	0.000e+00
6.820e-01	-6.765e+02	-6.767255e+02	1.553e-01	0.000e+00
6.860e-01	-6.765e+02	-6.767378e+02	1.632e-01	0.000e+00
6.900e-01	-6.765e+02	-6.767372e+02	1.628e-01	0.000e+00
6.940e-01	-6.765e+02	-6.767243e+02	1.546e-01	0.000e+00
6.980e-01	-6.765e+02	-6.767023e+02	1.405e-01	0.000e+00
7.020e-01	-6.765e+02	-6.766763e+02	1.239e-01	0.000e+00
7.060e-01	-6.765e+02	-6.766523e+02	1.086e-01	0.000e+00
7.100e-01	-6.765e+02	-6.766361e+02	9.824e-02	0.000e+00
7.140e-01	-6.765e+02	-6.766318e+02	9.549e-02	0.000e+00
7.180e-01	-6.765e+02	-6.766411e+02	1.014e-01	0.000e+00
7.220e-01	-6.765e+02	-6.766627e+02	1.152e-01	0.000e+00
7.260e-01	-6.765e+02	-6.766929e+02	1.346e-01	0.000e+00
7.300e-01	-6.765e+02	-6.767260e+02	1.558e-01	0.000e+00
7.340e-01	-6.765e+02	-6.767555e+02	1.746e-01	0.000e+00
7.380e-01	-6.765e+02	-6.767755e+02	1.874e-01	0.000e+00
7.420e-01	-6.765e+02	-6.767817e+02	1.914e-01	0.000e+00
7.460e-01	-6.765e+02	-6.767728e+02	1.857e-01	0.000e+00
7.500e-01	-6.765e+02	-6.767501e+02	1.711e-01	0.000e+00
7.540e-01	-6.765e+02	-6.767178e+02	1.505e-01	0.000e+00
7.580e-01	-6.765e+02	-6.766822e+02	1.277e-01	0.000e+00
7.620e-01	-6.765e+02	-6.766500e+02	1.071e-01	0.000e+00
7.660e-01	-6.765e+02	-6.766271e+02	9.247e-02	0.000e+00
7.700e-01	-6.765e+02	-6.766177e+02	8.640e-02	0.000e+00
7.740e-01	-6.765e+02	-6.766228e+02	8.967e-02	0.000e+00
7.780e-01	-6.765e+02	-6.766406e+02	1.011e-01	0.000e+00
7.820e-01	-6.765e+02	-6.766667e+02	1.178e-01	0.000e+00
7.860e-01	-6.765e+02	-6.766949e+02	1.358e-01	0.000e+00
7.900e-01	-6.765e+02	-6.767187e+02	1.510e-01	0.000e+00
7.940e-01	-6.765e+02	-6.767327e+02	1.600e-01	0.000e+00
7.980e-01	-6.765e+02	-6.767338e+02	1.606e-01	0.000e+00
8.020e-01	-6.765e+02	-6.767216e+02	1.528e-01	0.000e+00
8.060e-01	-6.765e+02	-6.766989e+02	1.384e-01	0.000e+00
8.100e-01	-6.765e+02	-6.766711e+02	1.206e-01	0.000e+00
8.140e-01	-6.765e+02	-6.766446e+02	1.036e-01	0.000e+00
8.180e-01	-6.765e+02	-6.766258e+02	9.162e-02	0.000e+00
8.220e-01	-6.765e+02	-6.766196e+02	8.766e-02	0.000e+00
8.260e-01	-6.765e+02	-6.766282e+02	9.319e-02	0.000e+00
8.300e-01	-6.765e+02	-6.766507e+02	1.076e-01	0.000e+00
8.340e-01	-6.765e+02	-6.766831e+02	1.283e-01	0.000e+00
8.380e-01	-6.765e+02	-6.767193e+02	1.514e-01	0.000e+00
8.420e-01	-6.765e+02	-6.767522e+02	1.725e-01	0.000e+00
8.460e-01	-6.765e+02	-6.767755e+02	1.874e-01	0.000e+00
8.500e-01	-6.765e+02	-6.767850e+02	1.935e-01	0.000e+00
8.540e-01	-6.765e+02	-6.767790e+02	1.897e-01	0.000e+00
8.580e-01	-6.765e+02	-6.767593e+02	1.771e-01	0.000e+00
8.620e-01	-6.765e+02	-6.767302e+02	1.585e-01	0.000e+00
8.660e-01	-6.765e+02	-6.766976e+02	1.376e-01	0.000e+00
8.700e-01	-6.765e+02	-6.766677e+02	1.185e-01	0.000e+00
8.740e-01	-6.765e+02	-6.766457e+02	1.043e-01	0.000e+00
8.780e-01	-6.765e+02	-6.766346e+02	9.727e-02	0.000e+00
8.820e-01	-6.765e+02	-6.766353e+02	9.765e-02	0.000e+00
8.860e-01	-6.765e+02	-6.766457e+02	1.043e-01	0.000e+00
8.900e-01	-6.765e+02	-6.766622e+02	1.149e-01	0.000e+00
8.940e-01	-6.765e+02	-6.766804e+02	1.265e-01	0.000e+00
8.980e-01	-6.765e+02	-6.766957e+02	1.363e-01	0.000e+00
9.020e-01	-6.765e+02	-6.767050e+02	1.423e-01	0.000e+00
9.060e-01	-6.765e+02	-6.767068e+02	1.434e-01	0.000e+00
9.100e-01	-6.765e+02	-6.767014e+02	1.400e-01	0.000e+00
9.140e-01	-6.765e+02	-6.766911e+02	1.334e-01	0.000e+00
9.180e-01	-6.765e+02	-6.766791e+02	1.257e-01	0.000e+00
9.220e-01	-6.765e+02	-6.766691e+02	1.193e-01	0.000e+00
9.260e-01	-6.765e+02	-6.766642e+02	1.162e-01	0.000e+00
9.300e-01	-6.765e+02	-6.766662e+02	1.175e-01	0.000e+00
9.340e-01	-6.765e+02	-6.766755e+02	1.234e-01	0.000e+00
9.380e-01	-6.765e+02	-6.766904e+02	1.330e-01	0.000e+00
9.420e-01	-6.765e+02	-6.767080e+02	1.443e-01	0.000e+00
9.460e-01	-6.765e+02	-6.767248e+02	1.550e-01	0.000e+00
9.500e-01	-6.765e+02	-6.767371e+02	1.628e-01	0.000e+00
9.540e-01	-6.765e+02	-6.767421e+02	1.660e-01	0.000e+00
9.580e-01	-6.765e+02	-6.767385e+02	1.637e-01	0.000e+00
9.620e-01	-6.765e+02	-6.767270e+02	1.564e-01	0.000e+00
9.660e-01	-6.765e+02	-6.767097e+02	1.453e-01	0.000e+00
9.700e-01	-6.765e+02	-6.766902e+02	1.328e-01	0.000e+00
9.740e-01	-6.765e+02	-6.766723e+02	1.214e-01	0.000e+00
9.780e-01	-6.765e+02	-6.766596e+02	1.133e-01	0.000e+00
9.820e-01	-6.765e+02	-6.766545e+02	1.100e-01	0.000e+00
9.860e-01	-6.765e+02	-6.766574e+02	1.118e-01	0.000e+00
9.900e-01	-6.765e+02	-6.766672e+02	1.181e-01	0.000e+00
9.940e-01	-6.765e+02	-6.766811e+02	1.270e-01	0.000e+00
9.980e-01	-6.765e+02	-6.766956e+02	1.362e-01	0.000e+00
1.002e+00	-6.765e+02	-6.767069e+02	1.435e-01	0.000e+00
1.006e+00	-6.765e+02	-6.767121e+02	1.468e-01	0.000e+00
1.010e+00	-6.765e+02	-6.767098e+02	1.453e-01	0.000e+00
1.014e+00	-6.765e+02	-6.767004e+02	1.393e-01	0.000e+00
1.018e+00	-6.765e+02	-6.766859e+02	1.301e-01	0.000e+00
1.022e+00	-6.765e+02	-6.766698e+02	1.198e-01	0.000e+00
1.026e+00	-6.765e+02	-6.766561e+02	1.110e-01	0.000e+00
1.030e+00	-6.765e+02	-6.766484e+02	1.061e-01	0.000e+00
1.034e+00	-6.765e+02	-6.766493e+02	1.066e-01	0.000e+00
1.038e+00	-6.765e+02	-6.766595e+02	1.132e-01	0.000e+00
1.042e+00	-6.765e+02	-6.766778e+02	1.249e-01	0.000e+00
1.046e+00	-6.765e+02	-6.767010e+02	1.397e-01	0.000e+00
1.050e+00	-6.765e+02	-6.767248e+02	1.550e-01	0.000e+00
1.054e+00	-6.765e+02	-6.767444e+02	1.675e-01	0.000e+00
1.058e+00	-6.765e+02	-6.767557e+02	1.747e-01	0.000e+00
1.062e+00	-6.765e+02	-6.767561e+02	1.750e-01	0.000e+00
1.066e+00	-6.765e+02	-6.767454e+02	1.681e-01	0.000e+00
1.070e+00	-6.765e+02	-6.767253e+02	1.553e-01	0.000e+00
1.074e+00	-6.765e+02	-6.766997e+02	1.389e-01	0.000e+00
1.078e+00	-6.765e+02	-6.766736e+02	1.222e-01	0.000e+00
1.082e+00	-6.765e+02	-6.766520e+02	1.084e-01	0.000e+00
1.086e+00	-6.765e+02	-6.766388e+02	9.996e-02	0.000e+00
1.090e+00	-6.765e+02	-6.766363e+02	9.830e-02	0.000e+00
1.094e+00	-6.765e+02	-6.766440e+02	1.032e-01	0.000e+00
1.098e+00	-6.765e+02	-6.766598e+02	1.133e-01	0.000e+00
1.102e+00	-6.765e+02	-6.766796e+02	1.260e-01	0.000e+00
1.106e+00	-6.765e+02	-6.766991e+02	1.385e-01	0.000e+00
1.110e+00	-6.765e+02	-6.767142e+02	1.481e-01	0.000e+00
1.114e+00	-6.765e+02	-6.767219e+02	1.531e-01	0.000e+00
1.118e+00	-6.765e+02	-6.767211e+02	1.526e-01	0.000e+00
1.122e+00	-6.765e+02	-6.767125e+02	1.471e-01	0.000e+00
1.126e+00	-6.765e+02	-6.766983e+02	1.380e-01	0.000e+00
1.130e+00	-6.765e+02	-6.766818e+02	1.275e-01	0.000e+00
1.134e+00	-6.765e+02	-6.766667e+02	1.178e-01	0.000e+00
1.138e+00	-6.765e+02	-6.766563e+02	1.111e-01	0.000e+00
1.142e+00	-6.765e+02	-6.766527e+02	1.088e-01	0.000e+00
1.146e+00	-6.765e+02	-6.766569e+02	1.115e-01	0.000e+00
1.150e+00	-6.765e+02	-6.766683e+02	1.188e-01	0.000e+00
1.154e+00	-6.765e+02	-6.766850e+02	1.295e-01	0.000e+00
1.158e+00	-6.765e+02	-6.767040e+02	1.416e-01	0.000e+00
1.162e+00	-6.765e+02	-6.767219e+02	1.531e-01	0.000e+00
1.166e+00	-6.765e+02	-6.767357e+02	1.620e-01	0.000e+00
1.170e+00	-6.765e+02	-6.767430e+02	1.666e-01	0.000e+00
